"Cấp","Tỉnh/Thành","Tổng quan","Diện tích                 (km²)","Dân số","Mật độ                 (người/km²)","Mã số","GeoJSON, Shapefile, KML"
"Tỉnh","Lai Châu","Sáp nhập: không sáp nhậpQuy mô: 38 đơn vị (2 phường, 36 xã)UBND: Đang cập nhật                                               13000                                                                   ☎ 213                                                                    25","9.068,73","512.601","56,52","12","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Lào Cai","Sáp nhập: Lào Cai, Yên BáiQuy mô: 99 đơn vị (10 phường, 89 xã)UBND: Số 963 Yên Ninh, Yên Bái, Lào Cai                                               27000                                                                   ☎ 214                                                                    21; 24","13.256,61","1.770.645","133,57","15","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Lạng Sơn","Sáp nhập: không sáp nhậpQuy mô: 65 đơn vị (4 phường, 61 xã)UBND: Đang cập nhật                                               25000                                                                   ☎ 205                                                                    12","8.309,67","881.384","106,07","20","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Lâm Đồng","Sáp nhập: Lâm Đồng, Đắk Nông, Bình ThuậnQuy mô: 124 đơn vị (20 phường, 103 xã và 1 đặc khu Phú Quý)UBND: Số 4 Trần Hưng Đạo, Xuân Hương Đà Lạt, Lâm Đồng                                               66000                                                                   ☎ 263                                                                    48; 49; 86","24.243,13","3.872.999","159,76","68","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Nghệ An","Sáp nhập: không sáp nhậpQuy mô: 130 đơn vị (11 phường, 119 xã)UBND: Số 3 Trường Thi, Trường Vinh, Nghệ An                                               37000                                                                   ☎ 238                                                                    37","16.486,49","3.831.694","232,41","40","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Ninh Bình","Sáp nhập: Hà Nam, Ninh Bình, Nam ĐịnhQuy mô: 129 đơn vị (32 phường, 97 xã)UBND: Số 3 Lê Hồng Phong, Hoa Lư, Ninh Bình                                               19000                                                                   ☎ 229                                                                    18; 35; 90","3.821,39","4.412.264","1.154,62","37","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Phú Thọ","Sáp nhập: Vĩnh Phúc, Phú Thọ, Hòa BìnhQuy mô: 148 đơn vị (15 phường, 133 xã)UBND: Đang cập nhật                                               21000                                                                   ☎ 210                                                                    19; 28; 88","9.361,42","4.022.493","429,69","25","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Quảng Ngãi","Sáp nhập: Quảng Ngãi, Kon TumQuy mô: 96 đơn vị (9 phường, 86 xã và 1 đặc khu Lý Sơn)UBND: Số 52 Hùng Vương, Nguyễn Nghiêm, Quảng Ngãi                                               	57000                                                                   ☎ 255                                                                    76; 82","14.832,53","2.161.735","145,74","51","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Quảng Ninh","Sáp nhập: không sáp nhậpQuy mô: 54 đơn vị (30 phường, 22 xã và 2 đặc khu: Vân Đồn và Cô Tô)UBND: Số 219 Nguyễn Văn Cừ, Hạ Long, Quảng Ninh                                               20000                                                                   ☎ 203                                                                    14","6.154,84","1.497.447","243,30","22","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Quảng Trị","Sáp nhập: Quảng Trị, Quảng BìnhQuy mô: 78 đơn vị (8 phường, 69 xã và 1 đặc khu Cồn Cỏ)UBND: Số 6 Hùng Vương, Đồng Hới, Quảng Trị                                               52000                                                                   ☎ 233                                                                    73; 74","12.699,99","1.870.844","147,31","44","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Sơn La","Sáp nhập: không sáp nhậpQuy mô: 75 đơn vị (8 phường, 67 xã)UBND: Đang cập nhật                                               	11000                                                                   ☎ 212                                                                    26","14.108,89","1.404.587","99,55","14","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Tây Ninh","Sáp nhập: Tây Ninh, Long AnQuy mô: 96 đơn vị (14 phường, 82 xã)UBND: Số 136 Trần Hưng Đạo, Tân Ninh, Tây Ninh                                               80000                                                                   ☎ 276                                                                    62; 70","8.536,41","3.254.170","381,21","80","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Thanh Hóa","Sáp nhập: không sáp nhậpQuy mô: 166 đơn vị (19 phường, 147 xã)UBND: Số 35 Đại lộ Lê Lợi, Hạc Thành, Thanh Hóa                                               36000                                                                   ☎ 237                                                                    36","11.114,78","4.320.947","388,76","38","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Thái Nguyên","Sáp nhập: Bắc Kạn, Thái NguyênQuy mô: 92 đơn vị (15 phường, 77 xã)UBND: Đang cập nhật                                               23000                                                                   ☎ 208                                                                    20; 97","8.375,27","1.799.489","214,86","19","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Thành phố","TP. Hồ Chí Minh","Sáp nhập: Thành phố Hồ Chí Minh, Bà Rịa - Vũng Tàu, Bình DươngQuy mô: 168 đơn vị (113 phường, 54 xã và 1 đặc khu Côn Đảo)UBND: Số 86 Lê Thánh Tôn, Sài Gòn, Hồ Chí Minh                                               70000                                                                   ☎ 28                                                                    41; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 61; 72","6.780,43","14.668.098","2.163,30","79","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Tuyên Quang","Sáp nhập: Tuyên Quang, Hà GiangQuy mô: 124 đơn vị (7 phường, 117 xã)UBND: Số 160 Trần Hưng Đạo, Minh Xuân, Tuyên Quang                                               25000                                                                   ☎ 207                                                                    22; 23","13.795,52","1.858.056","134,69","08","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Vĩnh Long","Sáp nhập: Vĩnh Long, Bến Tre, Trà VinhQuy mô: 124 đơn vị (19 phường, 105 xã)UBND: Số 88 Võ Văn Kiệt, Long Châu, Vĩnh Long                                               98000                                                                   ☎ 270                                                                    64; 71; 84","6.243,18","4.257.581","681,96","86","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
